20	3.711	3.941	3.989	4.009	3.906
25	3.709	3.943	4.004	4.065	4.044
33.3	3.728	3.923	3.99	4.074	4.094
40	3.743	3.915	3.979	4.067	4.102
50	3.778	3.915	3.972	4.052	4.104
58.8	3.805	3.93	3.972	4.049	4.103
66.7	3.845	3.945	3.988	4.049	4.113
76.9	3.896	3.975	4.01	4.058	4.12
90.9	3.946	4.028	4.051	4.081	4.147
100	3.987	4.061	4.074	4.099	4.159
111.1	4.024	4.101	4.122	4.147	4.181
125	4.054	4.159	4.177	4.18	4.226
