 ./CARDS/YoungORCA_Vs_Vp_Rho_lsqr_kernel_bs1000_smLVZdQdz_disc                    ref per =  -1.0 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap
    65   1240000.0    12156.78    10344.78    10344.78        0.00        0.00     1.00000   999999.00   999999.00
    66   1260000.0    12146.32    10333.10    10333.10        0.00        0.00     1.00000   999999.00   999999.00
    67   1280000.0    12135.72    10321.36    10321.36        0.00        0.00     1.00000   999999.00   999999.00
    68   1300000.0    12124.99    10309.56    10309.56        0.00        0.00     1.00000   999999.00   999999.00
    69   1320000.0    12114.12    10297.68    10297.68        0.00        0.00     1.00000   999999.00   999999.00
    70   1340000.0    12103.11    10285.74    10285.74        0.00        0.00     1.00000   999999.00   999999.00
    71   1360000.0    12091.96    10273.71    10273.71        0.00        0.00     1.00000   999999.00   999999.00
    72   1380000.0    12080.67    10261.62    10261.62        0.00        0.00     1.00000   999999.00   999999.00
    73   1400000.0    12069.23    10249.44    10249.44        0.00        0.00     1.00000   999999.00   999999.00
    74   1420000.0    12057.65    10237.18    10237.18        0.00        0.00     1.00000   999999.00   999999.00
    75   1440000.0    12045.93    10224.84    10224.84        0.00        0.00     1.00000   999999.00   999999.00
    76   1460000.0    12034.06    10212.41    10212.41        0.00        0.00     1.00000   999999.00   999999.00
    77   1480000.0    12022.04    10199.89    10199.89        0.00        0.00     1.00000   999999.00   999999.00
    78   1500000.0    12009.88    10187.28    10187.28        0.00        0.00     1.00000   999999.00   999999.00
    79   1520000.0    11997.57    10174.58    10174.58        0.00        0.00     1.00000   999999.00   999999.00
    80   1540000.0    11985.11    10161.77    10161.77        0.00        0.00     1.00000   999999.00   999999.00
    81   1560000.0    11972.49    10148.87    10148.87        0.00        0.00     1.00000   999999.00   999999.00
    82   1580000.0    11959.73    10135.87    10135.87        0.00        0.00     1.00000   999999.00   999999.00
    83   1600000.0    11946.81    10122.76    10122.76        0.00        0.00     1.00000   999999.00   999999.00
    84   1620000.0    11933.74    10109.55    10109.55        0.00        0.00     1.00000   999999.00   999999.00
    85   1640000.0    11920.51    10096.22    10096.22        0.00        0.00     1.00000   999999.00   999999.00
    86   1660000.0    11907.13    10082.79    10082.79        0.00        0.00     1.00000   999999.00   999999.00
    87   1680000.0    11893.59    10069.24    10069.24        0.00        0.00     1.00000   999999.00   999999.00
